"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-19 14:17:31.888 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:31_button_2"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:31_button_2","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:31.887 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:31_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:31_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:29.163 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:28_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:28_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:28.452 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:28_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:28_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:26.655 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:26_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:26_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:26.655 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:26_button_3"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:26_button_3","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:23.247 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:22_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:22_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:22.403 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:22_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:22_button_gameStarted","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:19.730 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:19_button_507"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:19_button_507","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:17:19.715 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:17:19_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:17:19_button_gameOver","['json']","['Unity3D']","212.239.149.64"
"2018-12-19 14:16:48.940 +01:00","{""LEVEL"":""Log"",""Message"":""30279c6093f5b87f521b9dbd0dc63e7f_2018\/12\/19 14:16:48_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J530F""}","application/x-www-form-urlencoded","samsung SM-J530F","Log","30279c6093f5b87f521b9dbd0dc63e7f_2018/12/19 14:16:48_button_gameResumed","['json']","['Unity3D']","212.239.149.64"
